Symbol
SPY
XLF
VXX
QQQ
UVXY
TVIX
IWM
XLU
AMLP
XOP
JNK
HYG
XLE
XLK
XLP
SVXY
XLI
SPXU
SQQQ
TZA
TLT
XLV
IYR
LQD
XLB
KRE
VNQ
SDS
XLY
DIA
XRT
IVV
QID
TQQQ
SH
SPXL
XBI
SPXS
AGG
SDOW
XME
TBT
TNA
VOO
IJR
VTI
PFF
AMJ
ITB
IEF
IBB
BND
KBE
SJNK
IWD
PGX
VIXY
DXD
SSO
ERX
UPRO
XHB
SPLV
USMV
IWF
FAZ
FAS
BSV
QLD
VTV
GOVT
TIP
AMZA
DOG
PSQ
IWB
IJH
VCIT
IVE
TMV
UDOW
SHY
UUP
MDY
ITOT
ERY
TWM
VYM
SPSB
CWB
PHB
SOXS
FPE
VUG
IWN
SHV
SPIB
SCHX
SCHD
MLPA
VTIP
VIG
SPAB
SCHB
IVW
MTUM
HYD
BIV
EMLP
XES
DVY
VFH
SCHH
OEF
SPYG
NEAR
BIL
VGT
RSP
SHM
MUB
DGRO
SDY
TBF
MLPI
SPYV
TMF
IYE
SRTY
MBB
SPHD
SOXL
VB
SOXX
IUSG
TECS
SCHZ
TFI
IWO
VMBS
FVD
SPTM
SPLG
FDN
ITM
FTEC
HYS
IWS
TOTL
DDM
IUSV
IEI
KBWB
VO
RWM
SCHA
REM
FNCL
NOBL
ARKK
HDV
SCHG
SCHP
MORL
PGF
FTSM
SHYG
VV
IWV
FENY
FNDX
ISTB
SCHO
QUAL
VLUE
ITA
VBR
SCHM
SKYY
SCHV
FV
VXZ
IWP
VOE
DON
SPMD
IYF
BSJI
VDE
HDGE
IYZ
PZA
BSJJ
SPLB
SPSM
SPTL
MLPX
DGRW
DRN
IYT
VXF
AMU
ARKW
GSY
TDTT
VCLT
BSJK
FNDA
FHLC
VPU
BSCK
RWR
VHT
FXN
TECL
VGSH
BIB
DES
QTEC
LMBS
BLV
IWR
FXO
IYW
FREL
CEFL
UWM
MGK
BDCL
FDL
SPHQ
BSCM
XMLV
IUSB
PEY
VIIX
ICF
BSCL
FIDU
FCG
XSLV
IYM
IAT
FTSL
VGIT
SPHB
SDOG
FXL
VIS
ATMP
PFXF
CURE
SPTS
PRF
IJS
VAW
SCHR
GASL
ZIV
TDTF
XAR
USRT
GVI
HYLS
CLY
BSJL
SNLN
FDIS
VBK
VOT
XSD
PWV
URTY
FXR
MDIV
IBDL
IGV
MOAT
IJK
BAB
FXZ
MNA
VDC
PCEF
VOX
VGLT
SLQD
TTT
PPA
PBP
STIP
FMAT
FUTY
BOND
RPG
IPE
PSK
RPV
IJT
FXU
XPH
IEZ
TIPX
SJB
VCR
BSCN
SUB
KBWY
IJJ
DIG
PST
IYG
FTCS
FEX
IWY
HYMB
VOOG
PDP
IDU
BSCO
FSTA
BIZD
RDVY
PSI
IYH
ITE
IHI
SLYV
FXD
IGE
HYZD
FXH
IEO
TDIV
ARKG
CFO
QDF
EZM
RYT
DRV
RWL
USDU
IBDH
CMF
FTA
SMB
STPZ
PKW
YYY
RYF
FMB
IYJ
MGV
MDYV
PKB
MDYG
EDV
VONG
DUG
KBWD
RDIV
RIGS
VONV
QYLD
PWZ
DIV
MGC
UDN
BSJM
COMT
FBND
BIS
FBT
VIXM
EQAL
VTWO
IAI
PSCE
CDC
DTYS
FPX
DLN
DSI
PJP
SMDV
MIDU
CFA
EES
PXJ
MLN
UYG
FRAK
SBIO
ROM
RTM
FTC
GNMA
CVY
CORP
PRFZ
IBMI
ONEQ
FCOM
FXG
PHO
QQEW
UBT
MBG
RETL




































































































































































































































































































































































